key,sender,senderID,addressee,addresseeID,senderDate,senderPlace,senderPlaceID,page,notes,edition
125,Robert Volkmann,11876912X,Louis Ehlert,116379987,1868,,,302,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
128,Robert Volkmann,11876912X,Carl Riedel,116534060,1869-05-19,Pest,https://www.geonames.org/3046446,311,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
129,Robert Volkmann,11876912X,Gustav Heckenast,118709445,1869-07-31,Ofen,https://www.geonames.org/3054667,313,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
130,Robert Volkmann,11876912X,Julius Altmann,116295058,1870-05-10,Ofen,https://www.geonames.org/3054667,316,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
131,Robert Volkmann,11876912X,Hermann John,1158388713,1870-07-02,Ofen,https://www.geonames.org/3054667,320,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
132,Robert Volkmann,11876912X,Otto Dessoff,116085053,1870-09-24,Ofen,https://www.geonames.org/3054667,321,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
133,Robert Volkmann,11876912X,Otto Dessoff,116085053,1870-09-28,Ofen,https://www.geonames.org/3054667,323,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
134,Robert Volkmann,11876912X,Ottilie Ebner,116333979,1870-11-25,Ofen,https://www.geonames.org/3054667,326,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
135,Robert Volkmann,11876912X,Bernhard Vogel,1024780767,1871-08-01,Ofen,https://www.geonames.org/3054667,327,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
136,Robert Volkmann,11876912X,Gustav Heckenast,118709445,1871-08-04,Ofen,https://www.geonames.org/3054667,328,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
137,Robert Volkmann,11876912X,Johannes Batka,116081368,1871-10-21,Ofen,https://www.geonames.org/3054667,329,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
138,Robert Volkmann,11876912X,Julius Altmann,116295058,1871-10-22,Ofen,https://www.geonames.org/3054667,331,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
139,Robert Volkmann,11876912X,Otto Dessoff,116085053,1871-12-22,Ofen,https://www.geonames.org/3054667,332,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
140,Robert Volkmann,11876912X,Johannes Batka,116081368,1871-12-23,Ofen,https://www.geonames.org/3054667,333,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
141,Robert Volkmann,11876912X,Johannes Batka,116081368,1872-01-03,Pest,https://www.geonames.org/3046446,336,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
142,Robert Volkmann,11876912X,Franz Doppler,116180064,1872-11-15,Ofen,https://www.geonames.org/3054667,338,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
143,Robert Volkmann,11876912X,Johannes Batka,116081368,1872-11-29,Ofen,https://www.geonames.org/3054667,339,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
144,Robert Volkmann,11876912X,Eduard Ebner,1073449912,1872-12-02,Pest,https://www.geonames.org/3046446,341,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
145,Robert Volkmann,11876912X,Johannes Batka,116081368,1872-12-20,Ofen,https://www.geonames.org/3054667,342,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
146,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1872-12-31,Ofen,https://www.geonames.org/3054667,343,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
147,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-01-08,Ofen,https://www.geonames.org/3054667,345,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
148,Robert Volkmann,11876912X,Heinrich Köstlin,116301635,1873-02-06,Ofen,https://www.geonames.org/3054667,354,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
149,Robert Volkmann,11876912X,Otto Dessoff,116085053,1873-02-07,Ofen,https://www.geonames.org/3054667,356,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
150,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1873-03-17,Ofen,https://www.geonames.org/3054667,357,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
151,Robert Volkmann,11876912X,Ludwig Hartmann,116498889,1873-03-21,Ofen,,359,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
152,Robert Volkmann,11876912X,Graf Emerich Széchényi,1042167141,1873-04-06,Ofen,https://www.geonames.org/3054667,363,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
153,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1873-05-13,Ofen,https://www.geonames.org/3054667,364,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
154,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-06-05,Ofen,https://www.geonames.org/3054667,366,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
155,Robert Volkmann,11876912X,Aloys Gogela,,1873-06-05,Ofen,https://www.geonames.org/3054667,367,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
156,Robert Volkmann,11876912X,Karl Winckler,,1873-06-23,Ofen,https://www.geonames.org/3054667,369,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
157,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1873-06-27,Ofen,https://www.geonames.org/3054667,371,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
158,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-06-27,Ofen,https://www.geonames.org/3054667,372,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
159,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-06-30,Ofen,https://www.geonames.org/3054667,374,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
160,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-07-01,Ofen,https://www.geonames.org/3054667,375,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
161,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1873-08-05,Wien,https://www.geonames.org/2761369,375,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
162,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1873-08-24,Ofen,https://www.geonames.org/3054667,377,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
163,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1873-08-25,Ofen,https://www.geonames.org/3054667,384,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
164,Robert Volkmann,11876912X,Vorsitzender des Allgemeinen Deutschen Musikvereins,,1873-10-24,Ofen,https://www.geonames.org/3054667,386,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
165,Robert Volkmann,11876912X,Johannes Batka,116081368,1873-10-25,Ofen,https://www.geonames.org/3054667,387,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
166,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1874-04-18,Ofen,https://www.geonames.org/3054667,388,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
167,Robert Volkmann,11876912X,Graf Victor Wimpffen,117581658,1874-04-28,Ofen,https://www.geonames.org/3054667,389,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
168,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1874-05-09,Ofen,https://www.geonames.org/3054667,391,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
169,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1874-05-25,Ofen,https://www.geonames.org/3054667,393,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
170,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1874-07-17,Ofen,https://www.geonames.org/3054667,394,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
171,Robert Volkmann,11876912X,Aloys Gogela,,1874-07-17,Ofen,https://www.geonames.org/3054667,397,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
172,Robert Volkmann,11876912X,Eduard Stocker,117261262,1874-08-08,Ofen,https://www.geonames.org/3054667,398,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
173,Robert Volkmann,11876912X,Eduard Stocker,117261262,1874-10-03,Wien,https://www.geonames.org/2761369,375,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
174,Robert Volkmann,11876912X,Graf Géza Zichy,116985925,1874-10-15,Ofen,https://www.geonames.org/3054667,400,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
175,Robert Volkmann,11876912X,Johannes Brahms,118514253,1874-12,Budapest,https://www.geonames.org/3054643,402,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
176,Robert Volkmann,11876912X,Herrmann Scholtz,116902299,1875-01-08,Budapest,https://www.geonames.org/3054643,404,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
177,Robert Volkmann,11876912X,Carl Reinecke,119388472,1875-01-10,Budapest,https://www.geonames.org/3054643,409,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
